"","method","cor","Rank_pcc","edistance_score","Rank_edistance","mse_score","Rank_mse","DEG_score","Rank_deg","was_score","Rank_was","sym_score","Rank_sym","ac_score","ac_rank","Rank","DataSet","op"
"1","baseMLP",0.8684,1,1,1,1,1,0,2,0.528594657568099,3,1,1,0.732832442928017,1.5,1,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"2","baseReg",0.3302,4,0.681473468204224,3,0.141258741258741,4,0,2,0.0715266197478515,4,0.984322676657053,2,0.368130250977978,3.16666666666667,3,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"3","baseControl",0.00229999999999997,6,0.630908036490978,5,0,6,0.01,1,0,6,0.98381201458309,3,0.271170008512345,4.5,6,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"4","CPA",0.7759,3,0,6,0.346853146853147,3,0,2,0.810630870476242,2,0,6,0.322230669554898,3.66666666666667,4,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"5","PRnet",0.855,2,0.740693239354939,2,0.958641358641359,2,0,2,1,1,0.269681508513324,5,0.637336017751604,2.33333333333333,2,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"6","trainMean",0.215,5,0.657785559743939,4,0.0755244755244756,5,0,2,0.0381493995319195,5,0.982739726341845,4,0.328199860190363,4.16666666666667,5,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"7","baseMLP",-0.5657,6,0.638354498884268,4,0.299989019435599,5,0,1,0,6,0.968102672918621,4,0.223457698539748,4.33333333333333,5,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"8","baseReg",0.0713,2,0.990859150857372,2,0.983199736466454,2,0,1,0.975673965170419,2,1,1,0.670172142082374,1.66666666666667,2,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"9","baseControl",-0.0334000000000001,3,1,1,1,1,0,1,1,1,0.997630405809369,2,0.660705067634895,1.5,1,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"10","CPA",-0.3973,4,0,6,0,6,0,1,0.472959682427434,5,0,6,0.0126099470712389,4.66666666666667,6,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"11","PRnet",-0.5124,5,0.540429538361171,5,0.361809597013286,4,0,1,0.722685579982945,4,0.352043789714631,5,0.244094750845339,4,4,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"12","trainMean",0.0921999999999999,1,0.968952249627472,3,0.943779510266828,3,0,1,0.913952631532032,3,0.993566984323223,3,0.652075229291592,2.33333333333333,3,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"13","baseMLP",0.2473,2,0.829626812455431,4,0.644916003536693,4,0,2,0.0289553226696089,5,0.990022791262432,4,0.456803488320694,3.5,4,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"14","baseReg",0.343,1,0.996291894461612,2,0.993987621573828,2,0,2,0.982318808604523,2,1,1,0.719266387439994,1.66666666666667,1,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"15","baseControl",-0.0626,6,1,1,1,1,0.06,1,1,1,0.997809348598523,2,0.66586822476642,2,2,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"16","CPA",0.1561,4,0,6,0,6,0,2,0,6,0,6,0.0260166666666667,5,6,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"17","PRnet",0.135,5,0.645714285714286,5,0.455702917771883,5,0,2,0.425434087148373,4,0.270391512874031,5,0.322040467251429,4.33333333333333,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"18","trainMean",0.2468,3,0.981991918231519,3,0.965870910698497,3,0,2,0.910490899062328,3,0.997076786952687,3,0.683705085824172,2.83333333333333,3,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"19","baseMLP",0.8468,2,1,1,0.968867299624641,2,0,3,0.518357623834873,3,0.00590696361109921,3,0.556655314511769,2.33333333333333,2,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"20","baseReg",0.3192,4,0.762104530757582,3,0.159637889158755,3,0,3,0.0635308311024894,4,2.46865901522009e-05,5,0.21741632293483,3.66666666666667,3,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"21","baseControl",-0.0740000000000001,6,0.729842835509352,5,0.0463678516228746,5,0.06,1,0.00125557915738572,5,0,6,0.127244377714935,4.66666666666667,6,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"22","CPA",0.6834,3,0,6,0,6,0,3,0.635364824372487,2,0.863142704228097,2,0.363651254766764,3.66666666666667,3,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"23","PRnet",0.8625,1,0.809939426185896,2,1,1,0.02,2,1,1,1,1,0.782073237697649,1.33333333333333,1,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"24","trainMean",0.1379,5,0.73374125158597,4,0.0547582247736805,4,0,3,0,6,6.57364549804251e-05,4,0.154410868802438,4.33333333333333,5,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"25","baseMLP",0.865,1,1,1,1,1,0,3,0.529212184987904,3,0.00925483705867314,3,0.567244503674429,2,2,"sciplex3_comb","A549_CHEMBL483254+CHEMBL2170177_3.0+3.0_1"
"26","baseReg",0.3533,4,0.787056433361054,3,0.234681520949382,3,0,3,0.0959112162206146,4,7.98342040707611e-05,5,0.245171500789187,3.66666666666667,3,"sciplex3_comb","A549_CHEMBL483254+CHEMBL2170177_3.0+3.0_1"
"27","baseControl",0.0579,6,0.739897049380507,5,0.0605473480261562,5,0.04,1,0,6,0,6,0.149724066234444,4.83333333333333,6,"sciplex3_comb","A549_CHEMBL483254+CHEMBL2170177_3.0+3.0_1"
"28","CPA",0.7202,3,0,6,0,6,0,3,0.646184326148038,2,0.856305062351264,2,0.37044823141655,3.66666666666667,3,"sciplex3_comb","A549_CHEMBL483254+CHEMBL2170177_3.0+3.0_1"
"29","PRnet",0.8644,2,0.796130404118025,2,0.99685153790264,2,0.01,2,1,1,1,1,0.777896990336778,1.66666666666667,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL2170177_3.0+3.0_1"
"30","trainMean",0.1994,5,0.764339926523995,4,0.145313635262776,4,0,3,0.0393744779179638,5,0.000160959198775901,4,0.191431499817252,4.16666666666667,5,"sciplex3_comb","A549_CHEMBL483254+CHEMBL2170177_3.0+3.0_1"
"31","baseMLP",0.8296,2,1,1,0.890032502708559,2,0,2,0.387642358111747,3,0.00744971197934863,3,0.519120762133276,2.16666666666667,2,"sciplex3_comb","A549_CHEMBL356066+CHEMBL2170177_3.0+3.0_1"
"32","baseReg",0.3976,4,0.886040744431826,2,0.538732394366197,3,0,2,0.134961453525566,4,0.000232852626740887,4,0.326261240825055,3.16666666666667,3,"sciplex3_comb","A549_CHEMBL356066+CHEMBL2170177_3.0+3.0_1"
"33","baseControl",-0.0177,6,0.828006582149396,5,0.351570964247021,5,0.03,1,0,6,0,6,0.198646257732736,4.83333333333333,6,"sciplex3_comb","A549_CHEMBL356066+CHEMBL2170177_3.0+3.0_1"
"34","CPA",0.7294,3,0,6,0,6,0,2,0.597616732748058,2,0.822439884661341,2,0.358242769568233,3.5,4,"sciplex3_comb","A549_CHEMBL356066+CHEMBL2170177_3.0+3.0_1"
"35","PRnet",0.8614,1,0.872123206711938,3,1,1,0,2,1,1,1,1,0.78892053445199,1.5,1,"sciplex3_comb","A549_CHEMBL356066+CHEMBL2170177_3.0+3.0_1"
"36","trainMean",0.2419,5,0.85381370663082,4,0.428494041170098,4,0,2,0.0599756396401608,5,0.000141454017113407,5,0.264054140243032,4.16666666666667,5,"sciplex3_comb","A549_CHEMBL356066+CHEMBL2170177_3.0+3.0_1"
