"","method","cor","Rank_pcc","edistance_score","Rank_edistance","mse_score","Rank_mse","sym_score","Rank_sym","ac_score","ac_rank","Rank","DataSet","op"
"1","baseMLP",0.402,1,0.819258343134054,4,0.476527900797166,4,0,6,0.424446560982805,3.75,4,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"2","baseReg",0.1851,4,1,1,1,1,0.999935086178297,2,0.796258771544574,2,1,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"3","baseControl",-0.01,6,0.995197406252619,2,0.986713906111603,2,0.999204773429377,3,0.7427790214484,3.25,3,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"4","CPA",0.2922,3,0,6,0,6,0.701922041632817,4,0.248530510408204,4.75,6,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"5","PRnet",0.2964,2,0.67995422798739,5,0.104517271922055,5,0.273477305217411,5,0.338587201281714,4.25,5,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"6","trainMean",0.0842000000000001,5,0.995006689533409,3,0.985828166519043,3,1,1,0.766258714013113,3,2,"sciplex3_comb","A549_CHEMBL483254_3.0_1"
"7","baseMLP",-0.5832,6,0.817159124336208,4,0.676660341555977,4,0.284615701077682,4,0.298808791742467,4.5,4,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"8","baseReg",-0.0137,2,0.993772352185289,2,0.989373814041746,2,0.999635398464383,3,0.742270391172854,2.25,3,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"9","baseControl",-0.0295000000000001,3,1,1,1,1,0.999914803260284,2,0.742603700815071,1.75,1,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"10","CPA",-0.2937,4,0,6,0,6,0.0762720046196667,5,-0.0543569988450834,5.25,5,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"11","PRnet",-0.4469,5,0.755438064126581,5,0.56280834914611,5,0,6,0.217836603318173,5.25,5,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"12","trainMean",0.1044,1,0.976693734421204,3,0.960151802656547,3,1,1,0.760311384269438,2,2,"sciplex3_comb","A549_CHEMBL491473+CHEMBL2170177_3.0+3.0_1"
"13","baseMLP",-0.1113,6,0.898268868036209,4,0.821611001964637,4,0.57684063014904,4,0.546355125037471,4.5,4,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"14","baseReg",0.1417,2,0.997186466628258,2,0.995284872298625,2,1,1,0.783542834731721,1.75,1,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"15","baseControl",-0.0512999999999999,3,1,1,1,1,0.999845778759537,2,0.737136444689884,1.75,1,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"16","CPA",-0.0528,4,0,6,0,6,0.116886716655216,5,0.0160216791638041,5.25,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"17","PRnet",-0.0993999999999999,5,0.77568089086016,5,0.592534381139489,5,0,6,0.317203817999912,5.25,5,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"18","trainMean",0.175,1,0.980646599689051,3,0.966601178781925,3,0.999794712289582,3,0.78051062269014,2.5,3,"sciplex3_comb","A549_CHEMBL1213492+CHEMBL257991_3.0+3.0_1"
"19","baseMLP",0.428,1,0.982446160442518,3,0.966101694915254,3,0.627783847419406,4,0.751082925694295,2.75,2,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"20","baseReg",0.1634,4,1,1,1,1,0.999872817875218,3,0.790818204468805,2.25,1,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"21","baseControl",-0.0276000000000001,6,0.996457393201761,2,0.993309545049063,2,1,1,0.740541734562706,2.75,2,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"22","CPA",0.2001,3,0,6,0,6,0.0553930124585303,5,0.0638732531146326,5,6,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"23","PRnet",0.3395,2,0.884974592568379,5,0.771186440677966,5,0,6,0.498915258311586,4.5,5,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"24","trainMean",0.0459000000000001,5,0.974760253182827,4,0.950936663693131,4,0.999917652624075,2,0.742878642375008,3.75,4,"sciplex3_comb","A549_CHEMBL483254+46245047_3.0+3.0_1"
"25","baseMLP",0.3166,1,0.861569770414685,4,0.73546511627907,4,0,6,0.478408721673439,3.75,4,"sciplex3_comb","A549_CHEMBL483254+CHEMBL2170177_3.0+3.0_1"
"26","baseReg",0.1967,3,1,1,1,1,0.999700711532659,2,0.799100177883165,1.75,1,"sciplex3_comb","A549_CHEMBL483254+CHEMBL2170177_3.0+3.0_1"
