"","method","cor","Rank_pcc","edistance_score","Rank_edistance","mse_score","Rank_mse","DEG_score","Rank_deg","was_score","Rank_was","sym_score","Rank_sym","ac_score","ac_rank","Rank","DataSet","op"
"1","AttentionPert",0.8114,5,0.874955127438076,5,0.784,6,0,3,0.552818648632073,9,0.99650639298921,5,0.669946694843226,5.5,5,"Norman","AHR+FEV_1"
"2","baseMLP",0.6162,13,0.436089505803518,12,0,15,0.07,1,0,15,0.985683728562753,9,0.351328872394379,10.8333333333333,15,"Norman","AHR+FEV_1"
"3","baseReg",0.8457,4,0.864089984444179,6,0.743529411764706,9,0,3,0.469357545481409,12,0.99618748463709,6,0.653144071054564,6.66666666666667,6,"Norman","AHR+FEV_1"
"4","biolord",0.8073,7,0.965202823979897,3,0.938823529411765,4,0,3,0.57499205504045,7,0.999964679385383,2,0.714380514636249,4.33333333333333,3,"Norman","AHR+FEV_1"
"5","baseControl",0.1165,15,0.494842646882853,11,0.0108235294117648,14,0.01,2,0.0109027146672315,14,0.989315785857416,8,0.272064112803211,10.6666666666667,14,"Norman","AHR+FEV_1"
"6","CPA",0.809,6,0.506952255594113,10,0.746352941176471,8,0,3,0.870806594595197,2,0.808223336762612,12,0.623555854688065,6.83333333333333,7,"Norman","AHR+FEV_1"
"7","GEARS",0.7816,9,0.894722986717722,4,0.824941176470588,5,0,3,0.574506994352109,8,0,15,0.512628526256737,7.33333333333333,9,"Norman","AHR+FEV_1"
"8","GeneCompass",0.7636,11,0.84288620318296,8,0.727529411764706,10,0,3,0.51071593842517,11,0.000280748986525747,14,0.474168717059894,9.5,12,"Norman","AHR+FEV_1"
"9","GenePert",0.7656,10,0.720330262055762,9,0.464470588235294,13,0,3,0.295343417391934,13,0.993850100721499,7,0.539932394734082,9.16666666666667,11,"Norman","AHR+FEV_1"
"10","linearModel",0.8538,1,1,1,1,1,0,3,0.620481826950418,5,0.999902055231139,3,0.745697313696926,2.33333333333333,1,"Norman","AHR+FEV_1"
"11","scELMo",0.7423,12,0.862295081967213,7,0.768,7,0,3,0.519483270981662,10,0.999247317051998,4,0.648554278333479,7.16666666666667,8,"Norman","AHR+FEV_1"
"12","scFoundation",0.5982,14,0.193562283115951,14,0.547294117647059,12,0,3,0.698373095300487,4,0.821870334259059,11,0.476549971720426,9.66666666666667,13,"Norman","AHR+FEV_1"
"13","scGPT",0.787,8,0,15,0.647529411764706,11,0,3,0.784089451881422,3,0.696933477050783,13,0.485925390116152,8.83333333333333,10,"Norman","AHR+FEV_1"
"14","scouter",0.8538,1,0.300682062941247,13,0.999058823529412,2,0,3,1,1,0.865694688890094,10,0.669872595893459,5,4,"Norman","AHR+FEV_1"
"15","trainMean",0.8521,3,0.99583582625344,2,0.991058823529412,3,0,3,0.61060777546708,6,1,1,0.741600404208322,3,2,"Norman","AHR+FEV_1"
"16","AttentionPert",0.4849,2,1,1,1,1,0,4,0.774850717332299,5,0.0251964942237953,14,0.547491201926016,4.5,4,"Norman","AHR+KLF1_1"
"17","baseMLP",0.1886,14,0,15,0,15,0.03,1,0,15,0.975035844404317,8,0.198939307400719,11.3333333333333,15,"Norman","AHR+KLF1_1"
"18","baseReg",0.3516,10,0.941995514201328,7,0.94429347826087,11,0,4,0.701475378053509,13,1,1,0.656560728419284,7.66666666666667,9,"Norman","AHR+KLF1_1"
"19","biolord",0.5424,1,0.99622482289978,3,0.998369565217391,2,0,4,0.741151609150834,9,0.997591340855013,6,0.712622889687169,4.16666666666667,2,"Norman","AHR+KLF1_1"
"20","baseControl",0.1207,15,0.881925784459595,10,0.8875,14,0.01,2,0.660750290810392,14,0.997008020963086,7,0.592980682705512,10.3333333333333,14,"Norman","AHR+KLF1_1"
"21","CPA",0.2955,12,0.587106659856543,11,0.950271739130435,9,0,4,0.981093447072509,3,0.778120112987145,11,0.598681993174439,8.33333333333333,11,"Norman","AHR+KLF1_1"
"22","GEARS",0.3068,11,0.935155781572694,8,0.942663043478261,12,0,4,0.732972082202404,10,0,15,0.486265151208893,10,13,"Norman","AHR+KLF1_1"
"23","GeneCompass",0.4043,7,0.973684794919056,5,0.977989130434783,6,0,4,0.76332880961613,6,0.0394552391029833,13,0.526459662345492,6.83333333333333,6,"Norman","AHR+KLF1_1"
"24","GenePert",0.3644,9,0.943616619662011,6,0.946467391304348,10,0,4,0.707025979061652,12,0.997869347937131,5,0.659896556327524,7.66666666666667,9,"Norman","AHR+KLF1_1"
"25","linearModel",0.4566,3,0.997845928360463,2,0.998097826086957,3,0,4,0.742126793330748,8,0.999695356903738,3,0.699060984113651,3.83333333333333,1,"Norman","AHR+KLF1_1"
"26","scELMo",0.2567,13,0.907241677955186,9,0.922554347826087,13,0,4,0.730257851880574,11,0.999577981771322,4,0.636055309905528,9,12,"Norman","AHR+KLF1_1"
"27","scFoundation",0.4024,8,0.531145211076814,12,0.96304347826087,8,0,4,0.970862737495153,4,0.921192859874727,9,0.63144071445126,7.5,7,"Norman","AHR+KLF1_1"
"28","scGPT",0.4287,6,0.313561768559437,14,0.972010869565217,7,0,4,0.99070763861962,2,0.697964311408388,12,0.567157431358777,7.5,7,"Norman","AHR+KLF1_1"
"29","scouter",0.4502,4,0.417912104994337,13,0.983423913043478,5,0.01,2,1,1,0.875959988838621,10,0.622916001146073,5.83333333333333,5,"Norman","AHR+KLF1_1"
"30","trainMean",0.4377,5,0.991583575758922,4,0.993478260869565,4,0,4,0.742683210546724,7,0.999821382131289,2,0.694211071551083,4.33333333333333,3,"Norman","AHR+KLF1_1"
"31","AttentionPert",0.8021,4,0.979563498052948,3,0.800637958532695,7,0,6,0.448964174681117,6,0.00205941837257351,7,0.505554174939889,5.5,4,"Norman","ARID1A_1"
"32","baseMLP",0.2538,14,0.59836387236997,12,0,15,0.02,1,0,15,0,15,0.145360645394995,12,14,"Norman","ARID1A_1"
"33","baseReg",0.5963,13,0.912699610589549,9,0.605263157894737,13,0,6,0.253166232449726,13,0.000997424452566564,10,0.39473773756443,10.6666666666667,13,"Norman","ARID1A_1"
"34","biolord",0.778,7,0.950040752256468,7,0.696969696969697,11,0,6,0.297278799559649,12,0.00168693442993062,9,0.453996030535957,8.66666666666667,12,"Norman","ARID1A_1"
"35","baseControl",-0.0598000000000001,15,0.80016300902587,10,0.307017543859649,14,0,6,0.118136063250396,14,2.77555756156289e-15,14,0.194252769355986,12.1666666666667,15,"Norman","ARID1A_1"
"36","CPA",0.7878,6,0.692214809671869,11,0.899521531100478,3,0,6,1,1,0.888200551766329,2,0.711289482089779,4.83333333333333,1,"Norman","ARID1A_1"
"37","GEARS",0.774,8,0.979140882059951,4,0.801435406698565,6,0.01,2,0.47002611758401,5,0.0109298072731275,5,0.507588702269276,5,2,"Norman","ARID1A_1"
"38","GeneCompass",0.8032,3,0.958493072116401,6,0.736842105263158,9,0,6,0.422071779772916,7,7.44624855771869e-05,12,0.486780236606342,7.16666666666667,8,"Norman","ARID1A_1"
"39","GenePert",0.7717,9,1,1,0.852472089314195,4,0.01,2,0.354324251903936,9,7.30992219313276e-05,13,0.49809490674001,6.33333333333333,7,"Norman","ARID1A_1"
"40","linearModel",0.8329,1,0.990611887584146,2,0.807814992025518,5,0,6,0.347144337585108,10,0.0073920692919629,6,0.497643881081123,5,2,"Norman","ARID1A_1"
"41","scELMo",0.7937,5,0.933407794246385,8,0.685007974481659,12,0,6,0.421548782416958,8,0.00199007950218721,8,0.472609105107865,7.83333333333333,10,"Norman","ARID1A_1"
