"","method","cor","Rank_pcc","edistance_score","Rank_edistance","mse_score","Rank_mse","sym_score","Rank_sym","ac_score","ac_rank","Rank","DataSet","op"
"1","AttentionPert",0.6222,8,0.97309915518008,5,0.901639344262295,7,0.0334195559002805,12,0.632589513835664,8,9,"Norman","AHR+FEV_1"
"2","baseMLP",0.3073,14,0.755391285015562,11,0,15,0.223496103253823,8,0.321546847067346,12,14,"Norman","AHR+FEV_1"
"3","baseReg",0.6937,4,0.984977450295369,4,0.923497267759563,6,0.22359168947786,7,0.706441601883198,5.25,3,"Norman","AHR+FEV_1"
"4","biolord",0.6768,6,0.98753414215842,3,0.950819672131148,4,0.218706958861129,10,0.708465193287674,5.75,4,"Norman","AHR+FEV_1"
"5","baseControl",-0.00970000000000004,15,0.914517563361494,10,0.601092896174863,13,0.223261781606147,9,0.432293060285626,11.75,13,"Norman","AHR+FEV_1"
"6","CPA",0.6771,5,0.434010353808042,12,0.939890710382514,5,0.994254150650097,2,0.761313803710163,6,5,"Norman","AHR+FEV_1"
"7","GEARS",0.5719,10,0.944840564060217,8,0.797814207650273,11,0.0106076940856514,14,0.581290616449035,10.75,11,"Norman","AHR+FEV_1"
"8","GeneCompass",0.5638,11,0.957298481864956,7,0.836065573770492,9,0.0186846767389977,13,0.593962183093611,10,10,"Norman","AHR+FEV_1"
"9","GenePert",0.5915,9,0.963793432001524,6,0.825136612021858,10,0.224514130408171,6,0.651236043607888,7.75,6,"Norman","AHR+FEV_1"
"10","linearModel",0.7313,1,1,1,1,1,0.22928316067155,4,0.740145790167887,1.75,1,"Norman","AHR+FEV_1"
"11","scELMo",0.5496,12,0.933176649939656,9,0.765027322404372,12,0,15,0.561950993086007,12,14,"Norman","AHR+FEV_1"
"12","scFoundation",0.4015,13,0.244291113510767,13,0.398907103825137,14,0.225637714417167,5,0.317583982938268,11.25,12,"Norman","AHR+FEV_1"
"13","scGPT",0.6406,7,0,15,0.87431693989071,8,1,1,0.628729234972678,7.75,6,"Norman","AHR+FEV_1"
"14","scouter",0.7025,3,0.144421330114972,14,0.978142076502732,3,0.106938544958361,11,0.483000487894016,7.75,6,"Norman","AHR+FEV_1"
"15","trainMean",0.73,2,0.999364797052658,2,0.994535519125683,2,0.23017820642172,3,0.738519630650015,2.25,2,"Norman","AHR+FEV_1"
"16","AttentionPert",0.1983,7,0.941206833731428,4,0.921787709497207,8,0.0863322273865621,11,0.536906692653799,7.5,9,"Norman","AHR+KLF1_1"
"17","baseMLP",-0.0451999999999999,15,0.301192259422695,12,0,15,0.242802464979878,6,0.124698681100643,12,13,"Norman","AHR+KLF1_1"
"18","baseReg",0.1553,8,0.978887494433424,2,0.974860335195531,4,0.242935215035169,5,0.587995761166031,4.75,3,"Norman","AHR+KLF1_1"
"19","biolord",0.2887,2,0.925205457268936,7,0.905027932960894,9,0.233171169794498,9,0.588026140006082,6.75,8,"Norman","AHR+KLF1_1"
"20","baseControl",0.0262,14,1,1,1,1,0.242644834380122,7,0.56721120859503,5.75,5,"Norman","AHR+KLF1_1"
"21","CPA",0.3232,1,0.407321565928505,11,1,1,1,1,0.682630391482126,3.5,1,"Norman","AHR+KLF1_1"
"22","GEARS",0.0923,11,0.818276587992389,9,0.751396648044693,12,0.0197480368597442,13,0.420430318224207,11.25,11,"Norman","AHR+KLF1_1"
"23","GeneCompass",0.1263,10,0.887545038662402,8,0.85195530726257,11,0.0502068491568796,12,0.479001798770463,10.25,10,"Norman","AHR+KLF1_1"
"24","GenePert",0.1312,9,0.976832921744059,3,0.972067039106145,5,0.241997448944896,8,0.580524352448775,6.25,6,"Norman","AHR+KLF1_1"
"25","linearModel",0.2676,3,0.941024654872272,5,0.927374301675978,6,0.246306625569879,3,0.595576395529532,4.25,2,"Norman","AHR+KLF1_1"
"26","scELMo",0.0770999999999999,13,0.813165458888304,10,0.751396648044693,12,0.0145116760636843,14,0.41404344574917,12.25,14,"Norman","AHR+KLF1_1"
"27","scFoundation",0.0836,12,0.0710801182138376,13,0.544692737430168,14,0.101548363055878,10,0.200230304674971,12.25,14,"Norman","AHR+KLF1_1"
"28","scGPT",0.2101,5,0,15,0.991620111731844,3,0.900344310471814,2,0.525516105550914,6.25,6,"Norman","AHR+KLF1_1"
"29","scouter",0.2095,6,0.0389457916683535,14,0.874301675977654,10,0,15,0.280686866911502,11.25,11,"Norman","AHR+KLF1_1"
"30","trainMean",0.2587,4,0.940467997247075,6,0.924581005586592,7,0.245138786158059,4,0.592221947247931,5.25,4,"Norman","AHR+KLF1_1"
"31","AttentionPert",0.5981,7,0.989669990634125,4,0.979020979020979,7,0.0122707960385771,14,0.64476544142342,8,6,"Norman","ARID1A_1"
"32","baseMLP",0.111,14,0.525049124933429,11,0,15,0.143638412006099,5,0.194921884234882,11.25,14,"Norman","ARID1A_1"
